year,state_alpha,county_name,county_code,commodity_desc,statisticcat_desc,Value,unit_desc,state_fips_str,county_fips_str,full_fips_code,latitude,longitude,T2M_mean,T2M_max,T2M_min,T2M_std,PRECTOTCORR_sum,PRECTOTCORR_max,extreme_heat_days
2023,IA,BUENA VISTA,21,CORN,YIELD,212.0,BU / ACRE,19,21,19021,42.741522,-95.141432,20.07262295081967,31.87,0.63,6.325842488729673,406.65,32.53,0.0
2022,IA,BUENA VISTA,21,CORN,YIELD,196.9,BU / ACRE,19,21,19021,42.741522,-95.141432,19.43224043715847,31.12,-0.06,7.626875118535799,387.74,22.53,0.0
2021,IA,BUENA VISTA,21,CORN,YIELD,203.9,BU / ACRE,19,21,19021,42.741522,-95.141432,19.84934426229508,30.1,1.07,6.757550405267678,450.16,25.16,0.0
2020,IA,BUENA VISTA,21,CORN,YIELD,183.9,BU / ACRE,19,21,19021,42.741522,-95.141432,18.819289617486337,30.5,-3.21,7.607109892801293,326.25,32.19,0.0
2019,IA,BUENA VISTA,21,CORN,YIELD,190.8,BU / ACRE,19,21,19021,42.741522,-95.141432,17.985409836065575,28.31,0.03,6.170367926881632,647.4399999999999,28.45,0.0
2018,IA,BUENA VISTA,21,CORN,YIELD,193.1,BU / ACRE,19,21,19021,42.741522,-95.141432,18.206666666666667,28.06,-4.7,7.905220443252057,779.59,39.21,0.0
2017,IA,BUENA VISTA,21,CORN,YIELD,187.9,BU / ACRE,19,21,19021,42.741522,-95.141432,19.013551912568307,29.24,3.44,6.026410186187163,500.46,42.08,0.0
2016,IA,BUENA VISTA,21,CORN,YIELD,201.1,BU / ACRE,19,21,19021,42.741522,-95.141432,18.673387978142078,28.32,0.85,6.113860176740533,669.43,56.61,0.0
2023,IA,CHEROKEE,35,CORN,YIELD,211.7,BU / ACRE,19,35,19035,42.742737,-95.633262,20.17808743169399,31.61,0.02,6.373408368688765,394.34,30.27,0.0
2022,IA,CHEROKEE,35,CORN,YIELD,198.7,BU / ACRE,19,35,19035,42.742737,-95.633262,19.72584699453552,32.02,-0.34,7.650069756097916,353.24,22.98,1.0
2020,IA,CHEROKEE,35,CORN,YIELD,185.7,BU / ACRE,19,35,19035,42.742737,-95.633262,18.96273224043716,30.43,-3.59,7.648261467997544,317.07,31.62,0.0
2019,IA,CHEROKEE,35,CORN,YIELD,208.9,BU / ACRE,19,35,19035,42.742737,-95.633262,17.997103825136612,28.45,-0.48,6.277286180019555,643.35,29.79,0.0
2018,IA,CHEROKEE,35,CORN,YIELD,213.3,BU / ACRE,19,35,19035,42.742737,-95.633262,18.209890710382513,28.12,-4.74,7.837498759245639,747.64,41.18,0.0
2017,IA,CHEROKEE,35,CORN,YIELD,203.7,BU / ACRE,19,35,19035,42.742737,-95.633262,18.992896174863386,29.58,3.27,6.039182211679358,541.46,40.33,0.0
2016,IA,CHEROKEE,35,CORN,YIELD,219.7,BU / ACRE,19,35,19035,42.742737,-95.633262,18.772021857923498,28.89,1.11,6.149192545900038,644.38,43.61,0.0
